# MPI Bandwidth Test
# Size [B]    Bandwidth [MB/s] (pip)    Bandwidth [MB/s] (conda)
65536                       10231.65                     1502.74
131072                      10927.86                     1837.19
262144                      11226.46                     2112.31
524288                      11558.91                     2187.85
1048576                     11815.73                     2234.20
2097152                     11926.97                     2239.13
4194304                     11996.23                     2008.81
8388608                     11816.54                     1826.22
16777216                    11337.77                     1806.65
33554432                    11202.05                     1781.83
67108864                    11122.19                     1818.52
134217728                   11073.34                     1710.29
